Year,Nominal_GDP,Real_GDP
2012,8736328.71137281,8736328.71137281
2013,9944013.104152925,9213016.662272772
2014,11233521.611639312,9801369.876257913
2015,12467959.292554552,10527673.634424318
2016,13771873.878856417,11369493.135959458
2017,15391668.563074222,12308193.223268416
2018,17090042.361130927,13144582.144739117
2019,18899668.44458577,13992913.936278902
2020,20103592.85659462,14534640.775489697
2021,19854096.006496992,13694869.244348833
2022,23597398.52829038,15021846.266426418
2023,26890472.571222488,16164913.37522836
2024,30122955.89765176,17650590.948238384
