Year,Real_Growth_pct,Nominal_Growth_pct
2012,,
2013,5.456387535869811,13.82370596023903
2014,6.386108215720943,12.967687129734863
2015,7.4102270125092184,10.988875292999921
2016,7.996253785665286,10.45812354456852
2017,8.25630550178209,11.761614276069077
2018,6.79538341898569,11.034370907201275
2019,6.453851344976491,10.58877470994808
2020,3.8714369407095495,6.370082181805348
2021,-5.777724706874087,-1.2410560235544321
2022,9.68959249191197,18.85405671740703
2023,7.609364977703703,13.955241883905622
2024,9.19075493028454,12.020924206027516
