Year,GDP_Constant,ds,yhat,yhat_lower,yhat_upper
2012,8736328.71137281,2012-07-01,8609008.839263579,8040318.867180576,9192578.462136272
2013,9213016.662272772,2013-07-01,9304520.355858324,8706060.017814785,9942650.761811225
2014,9801369.876257913,2014-07-01,10000031.873593533,9427317.625650957,10616352.201271648
2015,10527673.634424318,2015-07-01,10695543.391167432,10111741.150630156,11327596.62604615
2016,11369493.135959458,2016-07-01,11392960.420023123,10825202.303554643,12013219.84124718
2017,12308193.223268416,2017-07-01,12088471.938615048,11531818.97762346,12683441.17315155
2018,13144582.144739117,2018-07-01,12783983.457571665,12165266.610459602,13388325.311373757
2019,13992913.936278902,2019-07-01,13479494.976345832,12957312.671479937,14043392.49864692
2020,14534640.775489697,2020-07-01,14176912.006462919,13601897.701748898,14763034.467135517
2021,13694869.244348833,2021-07-01,14872423.524763636,14270826.352460114,15437366.719259331
2022,15021846.266426418,2022-07-01,15567935.051189974,15014933.392730087,16167995.655466247
2023,16164913.37522836,2023-07-01,16263446.577616313,15658280.868406793,16894340.39615681
2024,17650590.948238384,2024-07-01,16960863.61507396,16334680.195657488,17531775.887809843
2025,,2025-01-01,17311477.644834086,16755102.56557939,17942623.408672586
2026,,2026-01-01,18006989.171260428,17428342.43477728,18582319.341988336
2027,,2027-01-01,18702500.69768677,18094008.648071237,19293955.69634708
