Year,Agri_Share_%,Ind_Share_%,Serv_Share_%
2012,9.090909090909092,36.36363636363637,54.54545454545454
2013,8.769064842220237,35.34551780628972,55.88541735149004
2014,8.771122364180107,34.500242470918025,56.72863516490187
2015,8.119112774771589,34.33718395560357,57.54370326962485
2016,7.581252325435246,34.3994388449454,58.01930882961934
2017,7.5022282114560985,34.56555996813784,57.93221182040605
2018,7.552411032934539,34.096370661611466,58.351218305454
2019,7.291769999913751,33.81555267201168,58.89267732807457
2020,7.456891655207825,32.41069527529541,60.13241306949677
2021,8.212909762547515,33.25247416508885,58.53461607236364
2022,7.849043508530025,33.89781976268299,58.253136728786984
2023,7.734361602540075,33.10856998828656,59.157068409173355
2024,7.332467209890192,33.34972358172499,59.31780920838482
