Year,QI_Agriculture,QI_Industry,QI_Services,Total_QI,Agri_Share_%,Ind_Share_%,Serv_Share_%,Agri_Growth_%,Ind_Growth_%,Serv_Growth_%
2012,100.00000000000001,400.0,600.0,1100.0,9.090909090909092,36.36363636363637,54.54545454545454,,,
2013,101.48746049446096,409.0660642342646,646.7815197771763,1157.3350445059018,8.769064842220237,35.34551780628972,55.88541735149004,1.487460494460957,2.2665160585661592,7.796919962862714
2014,107.1407947755609,421.42649991740745,692.9502070250236,1221.517501717992,8.771122364180107,34.500242470918025,56.72863516490187,5.570475656358043,3.0216233424986028,7.13821991447019
2015,106.90889046320979,452.1368701431765,757.7100651706171,1316.7558257770033,8.119112774771589,34.33718395560357,57.54370326962485,-0.21644819122064174,7.287242314327114,9.345528363952837
2016,107.6033698800995,488.24328525274575,823.4883737130901,1419.3350288459355,7.581252325435246,34.3994388449454,58.01930882961934,0.6495993119755683,7.985726777410473,8.681197672576978
2017,114.91777203639262,529.4689829167119,887.3951210088953,1531.781875962,7.5022282114560985,34.56555996813784,57.93221182040605,6.7975586307784,8.44367939287174,7.760491748978926
2018,122.5091498684203,553.0839575781831,946.5266280151274,1622.1197354617307,7.552411032934539,34.096370661611466,58.351218305454,6.605921518930602,4.460124279874211,6.663492463087284
2019,125.07751254624488,580.0464377842106,1010.2004845834862,1715.3244349139418,7.291769999913751,33.81555267201168,58.89267732807457,2.0964660032194438,4.874934417568277,6.727106737808675
2020,132.78267400136167,577.1277073459212,1070.7601733687359,1780.6705547160186,7.456891655207825,32.41069527529541,60.13241306949677,6.160309154107901,-0.5031890980037868,5.994818821554904
2021,138.1015414983456,559.1462798938933,984.2700022677238,1681.5178236599627,8.212909762547515,33.25247416508885,58.53461607236364,4.0056939182663065,-3.1156756508399774,-8.07745499432463
2022,144.48619068865267,623.9953753394152,1072.331146140375,1840.8127121684429,7.849043508530025,33.89781976268299,58.253136728786984,4.6231556295724285,11.59787658031599,8.946848290587074
2023,153.5325232618451,657.2284246735535,1174.3094580231596,1985.0704059585582,7.734361602540075,33.10856998828656,59.157068409173355,6.2610361101470335,5.325848659705468,9.509964552445705
2024,157.61448354379425,716.866411836378,1275.0613941673403,2149.5422895475126,7.332467209890192,33.34972358172499,59.31780920838482,2.6586941940552,9.07416431242256,8.579675098060369
